HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
4,306512,Turbot St F/S Wharf St (Stop 4),Turbot St,Wharf St,"502,805.70","6,962,247.30",-27.463306,153.028396,SPRING HILL,Intermediate,N,Easy,Easy,Hard,6/05/2007 0:00
5,306524,Ann Street F/S Orient Hotel (Stop 5),Ann St,Queen St,"503,022.10","6,962,290.40",-27.462917,153.030586,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,6/07/2007 0:00
6,306558,Ann St app Wharf St (Stop 6),Ann St,Creek St,"502,880.60","6,962,169.00",-27.464013,153.029154,BRISBANE CITY,Intermediate,Y,Medium,Medium,Medium,29/05/2012 0:00
7,306559,Ann St at Anzac Square (Stop 7),Ann St,Creek St,"502,617.70","6,961,937.30",-27.466105,153.026494,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012 0:00
8,300073,Ann St app Edward St (Stop 8),Ann St,Edward St,"502,569.10","6,961,895.00",-27.466487,153.026002,BRISBANE CITY,Intermediate,Y,Hard,Medium,Easy,20/02/2012 0:00
9,306560,Ann St app KGS (Stop 9),Ann St,Edward St,"502,466.10","6,961,808.00",-27.467273,153.02496,BRISBANE CITY,Regular with seat,Y,Medium, ,Easy,20/02/2012 0:00
10,306561,Ann St at KGS (Stop 10),Ann St,Albert St,"502,368.30","6,961,727.20",-27.468003,153.02397,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,28/06/2011 0:00
11,306573,Ann St Stop 11,Ann St,George St,"502,266.70","6,961,637.10",-27.468816,153.022942,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,13/06/2007 0:00
18,306582,Adelaide St at City Hall (Stop 18),Adelaide St,George St,"502,293.90","6,961,530.70",-27.469777,153.023218,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007 0:00
19,307257,Adelaide St adj City Hall (Stop 19),Adelaide St,Albert St,"502,346.00","6,961,572.00",-27.469404,153.023745,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,13/05/2008 0:00
20,306580,Adelaide St Stop 20 at City Hall,Adelaide St,Albert St,"502,393.00","6,961,615.00",-27.469016,153.024221,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,28/06/2011 0:00
21,307255,Adelaide St @ Res Bank (Stop 21),Adelaide St,Albert St,"502,452.90","6,961,669.00",-27.468528,153.024827,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008 0:00
22,307263,Adelaide St f/s Res Bank (Stop 22),Adelaide St,Albert St,"502,469.60","6,961,683.50",-27.468397,153.024996,BRISBANE CITY,Intermediate,Y,Medium, ,Medium,28/07/2008 0:00
23,306591,Adelaide St opp DJ's (Stop 23),Adelaide St,Edward St,"502,521.60","6,961,728.90",-27.467987,153.025522,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007 0:00
24,306589,Adelaide St app Edward St (Stop 24),Adelaide St,Edward St,"502,538.10","6,961,743.40",-27.467856,153.025689,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,13/06/2007 0:00
25,306594,Adelaide St F/S Edward St (Stop 25),Adelaide St,Edward St,"502,609.50","6,961,807.20",-27.46728,153.026411,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
26,306595,Adelaide St at Anzac Sq (Stop 26),Adelaide St,Edward St,"502,620.80","6,961,817.00",-27.467191,153.026526,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
27,306598,Adelaide St F/S Creek St (Stop 27),Adelaide St,Creek St,"502,785.30","6,961,960.10",-27.465899,153.02819,BRISBANE CITY,Regular with seat,Y,,Medium,Easy,20/02/2012 0:00
28,306600,Adelaide St app Hutton L (Stop 28),Adelaide St,Hutton La,"502,808.60","6,961,980.20",-27.465718,153.028426,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012 0:00
29,306521,Adelaide St F/S Wharf St (Stop 29),Adelaide St,Wharf St,"502,941.00","6,962,095.00",-27.464681,153.029766,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012 0:00
30,306546,Adelaide St @ Macrossan St (St 30),Adelaide St,Macrossan,"503,110.00","6,962,257.30",-27.463215,153.031476,BRISBANE CITY,Regular with seat,Y,Medium, , ,29/05/2012 0:00
33,307137,Adelaide St app Wharf St (Stop 33),Adelaide St,Wharf St,"502,937.50","6,962,073.50",-27.464875,153.029731,BRISBANE CITY,Intermediate,Y,Hard,Medium,Hard,29/05/2012 0:00
34,307138,Adelaide St Creek St (rear) (Stop 34),Adelaide St,Creek St,"502,798.20","6,961,952.80",-27.465965,153.028321,BRISBANE CITY,Regular with seat,Y,,Easy,Easy,20/02/2012 0:00
35,306599,Adelaide St app Creek St (Stop 35),Adelaide St,Creek St,"502,781.80","6,961,938.60",-27.466093,153.028155,BRISBANE CITY,Regular with seat,Y,Easy,Easy,Easy,20/02/2012 0:00
